Language;English
Add;Add
Remove;Remove
From;From
To;To
Primary;Primary
Secondary;Secondary
This year;This year
Select color;Select color
Add holydays;Add holydays
Save screen;Save screenshot
Timer;Timer
Edit mode;Edit mode
Settings;Settings
Feedback;Feedback
Physical education;Physical education
History;History
Geography;Geography
Algebra;Algebra
Biology;Biology
Russian language;Russian language
Geometry;Geometry
Chemistry;Chemistry
Social studies;Social studies
German language;German language
Technology;Technology
Physics;Physics
English language;English language
Literature;Literature
Life safety;Life safety
Music;Music
Native language;Native language
Informatics;Informatics
Isn't set;Isn't set
Sports form;Sports form
Repeat the last §;Repeat the last §
Repeat the rules;Repeat the rules
Cancel;Cancel
Done;Done
Other;Other
On pages;On pages
Numbers;Numbers
Paragraphs;Paragraphs
Doesn't work in edit mode;Doesn't work in edit mode
In the develop;In the develop
Save changes;Save changes?
Topic;Topic
Communication;Communication
Message;Message
Send;Send
Skip;Skip
work;work
rest;rest
Reset timer;Reset the timer
Counter;Counter
Pause in end;Pause in end
Work time;Work time
Rest time;Rest time
Timer settings;Timer settings
Cycle;Cycle
Lesson;Lesson
Error;Error
Review;Review
I want to talk;I want to talk
Yes;Yes
No;No
The language file;The language file was created successfully. You can find it on 
Language name;Language name
Add language;Add language
Enter the task;Enter the task
Empty task;Empty task
This task has already been added;This task has already been added
