Language;Кто я am
Add;Плючануть
Remove;Сломать
From;До(от)
To;От(до)
Primary;1ичные
Secondary;2ичные
This year;Private для этого года
Select color;Вот такого цвета будет все
Add holydays;Добавить святойдни
Save screen;Сохранить экранвыстрел
Timer;Секундомер наоборот
Edit mode;Режим бога
Settings;Настройечки
Feedback;Письмо автору
Physical education;Ну мячики попинать
History;Хистори
Geography;Географ и я
Algebra;Алге абра
Biology;Биолог и я
Russian language;Руссиш
Geometry;Геома
Chemistry;Хим и я
Social studies;Общество studies
German language;Германский лангвидж
Technology;Технология
Physics;Пхусикс
English language;Инглиш
Literature;История
Life safety;обж
Music;Голос дети
Native language;Какой-то язык
Informatics;Инфа
Isn't set;Ни-че-во
Sports form;Адидасы
Repeat the last §;Вроде устно, а вроде ничего
Repeat the rules;Вроде устно, а вроде ничего
Cancel;Stop!
Done;Я готов
Other;Каво?
On pages;На листах
Numbers;Нумберс
Paragraphs;Вон те закарючки
Doesn't work in edit mode;Режим редактировния говорит: "Ты не пройдешь"!
In the develop;Падажи, скора буит
Save changes;Надо to save изменения?
Topic;Заголовок кароче
Сommunication;Почту там, или телеф
Message;То, что я увижу
Send;Запустить
Skip;Забить на
work;работу
rest;отдых
Reset timer;Сделать 00:00
Counter;Сччиталочка
Pause in end;Сложно обяснить
Work time;Работа's time
Rest time;Отдых's time
Timer settings;Hello, my name is timer
Сycle;Сайкл
Lesson;Тот, у которого
Error;Страшна, ашибка
Review;Так вот, слушай, тут у тебя такое
I want to talk;Мiне скушнааа
Yes;Нет(да)
No;Да(нет)
The language file;Файл с языками успешно родился. Ты там это, найди его вот тут 
Language name;Добавить язык
Add language;Название языка
