Language;Русский
Add;Добавить 
Remove;Удалить
From;От
To;До
Primary;Первичные
Secondary;Вторичные
This year;Этого года
Select color;Выберите цвет
Add holydays;Добавить выходные
Save screen;Сохранить скриншот
Timer;Таймер
Edit mode;Режим редактирования
Settings;Настройки
Feedback;Обратная связь
Physical education;Физкультура
History;История
Geography;География
Algebra;Алгебра
Biology;Биология
Russian language;Русский язык
Geometry;Геометрия
Chemistry;Химия
Social studies;Обществознание
German language;Немецкий язык
Technology;Технология
Physics;Физика
English language;Английский язык
Literature;Литература
Life safety;ОБЖ
Music;Музыка
Native language;Родной язык
Informatics;Информатика
Isn't set;Не задано
Sports form;Спортивная форма
Repeat the last §;Повторить последний §
Repeat the rules;Повтрорить правила
